online_order,book_table,rate,votes,cost,BTM,Banashankari,Banaswadi,Bannerghatta Road,Basavanagudi,Basaveshwara Nagar,Bellandur
1,0,3.9,18,5.298317367,0,0,0,0,1,0,0
1,0,3.3,6,4.605170186,0,0,0,0,1,0,0
1,0,3.700448818,0,4.605170186,0,0,0,0,1,0,0
1,0,4.3,322,5.991464547,0,0,0,0,0,0,0
1,0,2.6,157,6.109247583,0,0,0,0,0,0,0
1,0,3.9,543,5.703782475,0,0,0,0,1,0,0
1,0,3.7,180,6.214608098,0,1,0,0,0,0,0
1,0,4.2,444,4.605170186,0,0,0,0,1,0,0
1,0,3.9,134,5.991464547,0,0,0,0,0,0,0
1,0,3.8,577,6.802394763,0,0,0,0,0,0,0
1,0,4.2,60,5.298317367,0,1,0,0,0,0,0
1,0,3.9,144,6.309918278,0,0,0,0,0,0,0
1,0,4.1,787,6.684611728,0,1,0,0,0,0,0
1,0,3.6,16,5.298317367,0,0,0,0,1,0,0
1,0,3.6,84,5.521460918,0,1,0,0,0,0,0
1,0,3.6,95,5.010635294,0,1,0,0,0,0,0
1,1,4,349,7.090076836,0,1,0,0,0,0,0
1,0,3.7,248,5.991464547,0,0,0,0,0,0,0
1,0,4.1,216,6.214608098,0,0,0,0,1,0,0
1,0,3.700448818,0,5.991464547,0,0,0,0,0,0,0
1,0,4,324,6.551080335,0,1,0,0,0,0,0
1,0,2.6,231,5.991464547,0,0,0,0,0,0,0
1,0,3.4,102,5.991464547,0,0,0,0,0,0,0
1,0,3.9,133,6.684611728,0,1,0,0,0,0,0
1,0,2.8,45,6.684611728,0,1,0,0,0,0,0
1,0,3.9,149,5.703782475,0,0,0,0,0,0,0
1,0,3.8,75,5.298317367,0,1,0,0,0,0,0
1,0,4,53,6.396929655,0,0,0,0,0,0,0
1,1,4.2,815,6.802394763,0,0,0,0,0,0,0
1,1,4,633,6.684611728,0,1,0,0,0,0,0
1,0,3.5,56,5.991464547,0,0,0,0,0,0,0
1,0,3,82,5.703782475,0,1,0,0,0,0,0
1,0,3.7,35,5.298317367,0,0,0,0,0,0,0
1,0,3.6,20,5.010635294,0,0,0,0,1,0,0
1,0,3.1,14,5.521460918,0,0,0,0,0,0,0
1,0,3.9,70,5.991464547,0,1,0,0,0,0,0
1,0,3.9,91,5.703782475,0,0,0,0,0,0,0
1,0,3.6,45,5.298317367,0,0,0,0,0,0,0
1,0,3.4,7,5.521460918,0,1,0,0,0,0,0
1,0,3.8,28,5.010635294,0,1,0,0,0,0,0
1,0,3.6,24,6.396929655,0,1,0,0,0,0,0
1,0,3.8,36,5.298317367,0,0,0,0,1,0,0
1,0,3.5,11,5.298317367,0,0,0,0,0,0,0
1,0,3.8,77,6.476972363,0,0,0,0,0,0,0
1,0,3.2,8,4.605170186,0,1,0,0,0,0,0
1,0,3.7,14,4.605170186,0,0,0,0,0,0,0
1,0,3.8,210,6.396929655,0,0,0,0,0,0,0
1,0,4.1,130,6.476972363,0,0,0,0,0,0,0
1,0,4.1,30,4.605170186,0,0,0,0,0,0,0
1,0,3.8,144,6.551080335,0,1,0,0,0,0,0
1,0,3.4,11,6.684611728,0,0,0,0,1,0,0
1,0,3.7,133,6.551080335,0,0,0,0,0,0,0
1,0,4,136,5.857933154,0,0,0,0,0,0,0
1,0,3.1,4,5.298317367,0,0,0,0,1,0,0
1,0,3.5,11,5.298317367,0,0,0,0,1,0,0
1,0,3.8,74,5.703782475,0,0,0,0,1,0,0
1,0,3.7,30,5.703782475,0,0,0,0,1,0,0
1,0,3,7,5.298317367,0,0,0,0,1,0,0
1,0,3.8,75,5.298317367,0,1,0,0,0,0,0
1,0,3.7,54,6.396929655,0,0,0,0,1,0,0
1,0,3.6,23,4.605170186,0,0,0,0,1,0,0
1,0,3.2,119,5.991464547,0,1,0,0,0,0,0
1,0,3.7,73,5.991464547,0,1,0,0,0,0,0
1,0,3.4,58,5.991464547,0,0,0,0,1,0,0
1,0,3.6,129,6.396929655,0,1,0,0,0,0,0
1,0,3.6,24,5.521460918,0,1,0,0,0,0,0
1,0,3,175,5.991464547,0,0,0,0,0,0,0
1,0,3.7,21,5.703782475,0,0,0,0,0,0,0
1,0,3.5,41,5.991464547,0,0,0,0,0,0,0
1,0,3.6,35,5.703782475,0,0,0,0,0,0,0
1,0,4.1,176,6.684611728,0,0,0,0,1,0,0
1,0,3.5,45,5.703782475,0,1,0,0,0,0,0
1,0,3.7,47,5.991464547,0,0,0,0,0,0,0
1,1,3.7,36,6.476972363,0,0,0,0,0,0,0
1,0,3.8,52,5.991464547,0,0,0,0,0,0,0
1,0,2.7,123,5.298317367,0,1,0,0,0,0,0
1,0,3.6,59,6.551080335,0,0,0,0,0,0,0
1,0,3.2,4,5.703782475,0,0,0,0,0,0,0
1,0,3.8,101,5.991464547,0,1,0,0,0,0,0
1,0,3.7,54,5.991464547,0,1,0,0,0,0,0
1,0,3.700448818,0,5.298317367,0,1,0,0,0,0,0
1,0,3.6,22,5.298317367,0,0,0,0,1,0,0
1,0,3.1,31,5.521460918,0,1,0,0,0,0,0
1,0,3,29,6.214608098,0,0,0,0,0,0,0
1,0,3.4,6,4.605170186,0,0,0,0,0,0,0
1,0,3,22,5.521460918,0,0,0,0,1,0,0
1,0,2.9,11,6.214608098,0,1,0,0,0,0,0
1,0,3.9,101,5.010635294,0,0,0,0,1,0,0
1,1,4.1,442,7.090076836,0,0,0,0,0,0,0
1,0,3.5,155,5.991464547,0,0,0,0,1,0,0
